creator,url,odds_top,best_strength,confirmations,distributors,best_outlier,best_reach,best_channel,best_channel_subs,best_title,evidence,peak_outlier_any,peak_reach_any,last_seen
frengen_engineering,https://www.youtube.com/@frengen_engineering,0.9277,0.799,2,7,4.9,5112367,TechFreeze,3220000,Man Turns Old Boat into Luxury Yacht | Start to Finish by @frengen_engineering,firme,7.6,5112367,2026-08-06
araujocaiaque,https://www.youtube.com/@araujocaiaque,0.926,0.877,1,5,11.2,11607684,TechFreeze,3220000,Man Transforms 8 Water Tanks into Amazing Boat | Start to Finish by @araujocaiaque,firme,11.2,11607684,2026-06-25
chateaudutheil,https://www.youtube.com/@chateaudutheil,0.9255,0.876,1,2,10.9,650166,MAKERS HD,3260,Couple Transforms Abandoned Castle into Dream Hotel | from beginning to end@chateaudutheil,firme,10.9,650166,2026-08-02
my_off-grid_story,https://www.youtube.com/@my_off-grid_story,0.9238,0.788,2,13,24.0,160095,Smart Fox,85100,A Man Builds a Modular House From Start to Finish | Timelaps by @my_off-grid_story,firme,347.4,1520040,2026-07-08
forestexpanses,https://www.youtube.com/@forestexpanses,0.9227,0.923,0,3,19.9,12683214,TK Maker,25100,First night in the log cabin — A bear appeared right outside 🐻🔥🌲 | By @forestexpanses,media,107.2,12683214,2026-08-07
ramizinthewild,https://www.youtube.com/@ramizinthewild,0.9223,0.87,1,8,10.4,2508312,Betelhem Tech,28000,Part 1 - Over a Month Away From HomeLivingwithDogsand Fishing in the Forest  🐕🎣 | By @ramizinthewild,firme,17.1,2508312,2026-07-04
Weandnature,https://www.youtube.com/@Weandnature,0.921,0.868,1,5,14.3,429894,Lord Gizmo,505000,Couple Builds Dream Garage In 21 Days | Start to Finish DIY Build by @Weandnature.,firme,14.3,1985669,2026-07-17
mypersonaljournal,https://www.youtube.com/@mypersonaljournal,0.9203,0.867,1,7,9.8,868186,Maker World,19200,Man Builds Beautiful Wooden Cabin in the Forest | From Start to Finish by@mypersonaljournal,firme,18.0,868186,2026-08-07
TheFabrik,https://www.youtube.com/@TheFabrik,0.9203,0.867,1,2,20.3,422736,MrDuck104,406000,Restoring Toy Steam Machine...(@TheFabrik),firme,20.3,422736,2024-10-05
Construyendo-Juntos,https://www.youtube.com/@Construyendo-Juntos,0.9156,0.859,1,8,9.2,2157970,BRAIN TIME VT,33700,Couple Builds Their Dream Container Home in Just 1Month|From beginning to end@Construyendo-Juntos,firme,53.7,2157970,2026-07-28
lesnoy_craft8607,https://www.youtube.com/@lesnoy_craft8607,0.9138,0.76,2,23,3.5,824755,BRAIN TIME VT,33700,Man spent 2months building his dream log cabin deep in the forest. |Timelapse by@lesnoy_craft8607,firme,779.0,824755,2026-08-10
naturalloghouse,https://www.youtube.com/@naturalloghouse,0.9105,0.851,1,10,8.6,1945390,World Build,36500,This GIANT Scandinavian Wooden House Was Built in Just 120 Days | Start to Finish by@naturalloghouse,firme,73.8,1945390,2026-07-14
OldThingsNeverDie,https://www.youtube.com/@OldThingsNeverDie,0.9095,0.849,1,2,26.8,347552,MrDuck112,31200,Restoring Rusty Pasta Maker...(@OldThingsNeverDie),firme,26.8,347552,2024-10-09
Woodsimprovisation,https://www.youtube.com/@Woodsimprovisation,0.9082,0.847,1,2,193.2,334965,COLLAB,12400,Man Builds WATERWHEEL That Powers His Entire Riverside House | by @Woodsimprovisation,firme,193.2,334965,2026-02-19
BuildingInNature,https://www.youtube.com/@BuildingInNature,0.9063,0.844,1,11,7.9,1453744,Build Maker,46200,Man Builds Incredible Wooden Tree House in the Woods | From Start to Finish by @BuildingInNature,firme,7.9,1453744,2026-08-07
norsetoalaska,https://www.youtube.com/@norsetoalaska,0.9059,0.843,1,3,7.8,691642,Maker World,19200,Man Builds Cozy Off-Grid A-Frame Cabin in the Alaska Wilderness |  @norsetoalaska,firme,14.3,691642,2026-06-06
matt.jacobs1,https://www.youtube.com/@matt.jacobs1,0.9052,0.737,2,13,3.1,700978,World Build,36500,Man Spent 2 Years Building a HUGE Wooden House for His Family | Start to Finish by @matt.jacobs1,firme,3.2,700978,2026-08-02
THENORTHCABIN,https://www.youtube.com/@THENORTHCABIN,0.9036,0.732,2,3,3.2,73400,Vertigar Bushcraft,5170,From Old Plywood to a Cozy Cabin in the Wilderness | By @THENORTHCABIN,firme,3.5,73400,2026-07-31
LesnoySpeed,https://www.youtube.com/@LesnoySpeed,0.8997,0.833,1,8,16.8,286785,an tinh,6810,Transforming Discarded Pallet Wood into a House in the Middle of the Forest | By @LesnoySpeed,firme,16.8,286785,2026-06-21
