creator,url,status,p_next,why,creator_subs,creator_views_per_video,qm_videos,qm_best_outlier,qm_best_views,qm_best_title,distributors,dist_best_outlier,dist_best_reach,dist_best_channel,confirmations
tetuchannel,https://www.youtube.com/@tetuchannel,probado_ok,0.58,ya os funcionó — su catálogo es mina,295000,169315,1,3.07,9224996,Woman Turns Small Pickup Truck into Amazing CAMPER | DIY Start to Finish by @tetuchannel,1,0.4,845,Clean & Restore Tech,0
Cxsound,https://www.youtube.com/@Cxsound,probado_ok,0.58,ya os funcionó — su catálogo es mina,603000,352098,2,3.0,9001435,Cleaning the DIRTIEST Car in the World for ONLY $300 | Satisfying Car Cleaning by @Cxsound,0,,,,0
jufri_88,https://www.youtube.com/@jufri_88,probado_ok,0.58,ya os funcionó — su catálogo es mina,39400,54262,2,3.0,8989078,Man Builds Hyperrealistic RC Warship at Scale | OPV 1800 Military Replica by @jufri_88,0,,,,0
SailingGoodBadandUgly,https://www.youtube.com/@SailingGoodBadandUgly,probado_ok,0.58,ya os funcionó — su catálogo es mina,262000,162963,1,2.99,8978107,Young Couple Buys $5000 OLD YACHT and Renovates It Back to NEW | by @SailingGoodBadandUgly,2,1.1,1093162,TechFreeze,0
BelkoWood,https://www.youtube.com/@BelkoWood,probado_ok,0.58,ya os funcionó — su catálogo es mina,537000,2279074,1,2.97,8919354,Very Expensive Wood From 5000 Years Ago Black Oak | by @BelkoWood,0,,,,0
WildGnomos,https://www.youtube.com/@WildGnomos,probado_ok,0.58,ya os funcionó — su catálogo es mina,24900,16401,5,2.95,8863561,Man Spends 100 DAYS Building Wood CABIN in Volcanic Island | START TO FINISH by @WildGnomos,13,99.2,1003649,Quantum Build Studio,3
MojieAirCrafting,https://www.youtube.com/@MojieAirCrafting,probado_ok,0.58,ya os funcionó — su catálogo es mina,80300,128840,1,2.88,8654007,Men Build a Giant FLYING BOAT in 100 Days | DIY Ekranoplan by @MojieAirCrafting,0,,,,0
Korytan,https://www.youtube.com/@Korytan,probado_ok,0.58,ya os funcionó — su catálogo es mina,18900,66867,3,2.79,8360142,Man Turns $5000 Abandoned House Into a High-End Home | by @Korytan  ​,8,103.5,179496,COLLAB,0
DIY_OTAKU_take,https://www.youtube.com/@DIY_OTAKU_take,probado_ok,0.58,ya os funcionó — su catálogo es mina,7490,82590,1,2.78,8331929,Man Buys ABANDONED HOUSE for $7500 and Renovates It Back To New | Start to Finish @DIY_OTAKU_take,1,9.0,116880,TTI Build Stories ,0
bkscreative,https://www.youtube.com/@bkscreative,probado_ok,0.58,ya os funcionó — su catálogo es mina,110000,171782,1,2.77,8307135,Man Builds DIY Boat Using Fiberglass and Wire Mesh | From Start to Finish by @bkscreative,1,0.6,46,Hidden Cabin ,0
